#timestamp,#frame_is_ok,#U1,#current1,#activepow1
1732550990.690333447,true,228.5,1.9,421.1
1732550990.700584863,true,228.5,1.9,421.1
1732550990.710322884,true,228.5,1.9,421.1
1732550990.720586046,true,227.8,1.9,418.4
1732550990.730322280,true,228.4,1.8,408.1
1732550990.740498988,true,228.4,1.8,408.1
1732550990.750244519,true,228.4,1.8,408.1
1732550990.760506241,true,228.4,1.8,408.1
1732550990.770685040,true,228.5,1.8,407.3
1732550990.780496115,true,227.8,1.8,404.7
1732550990.790683629,true,228.5,1.8,407.3
1732550990.800411939,true,228.5,1.8,407.3
1732550990.810684897,true,228.5,1.8,398.5
1732550990.820412477,true,228.5,1.8,398.5
1732550990.830683133,true,228.5,1.8,398.5
1732550990.840329171,true,227.8,1.8,395.9
1732550990.850581829,true,228.6,1.8,403.2
1732550990.860336729,true,228.6,1.8,403.2
1732550990.870588230,true,228.6,1.8,403.2
1732550990.880329181,true,228.6,1.8,403.2
1732550990.890500730,true,228.6,1.8,399.1
1732550990.900243975,true,227.8,1.8,396.6
1732550990.910492904,true,228.6,1.8,399.1
1732550990.920252764,true,228.6,1.8,399.1
1732550990.930499215,true,228.5,1.8,402.9
1732550990.940163876,true,228.5,1.8,402.9
1732550990.950417762,true,228.5,1.8,402.9
1732550990.960683086,true,228.5,1.8,402.9
1732550990.970412559,true,228.6,1.8,399.2
1732550990.980682276,true,227.9,1.8,396.7
1732550990.990413260,true,228.6,1.8,399.2
1732550991.000084244,true,228.6,1.8,399.2
1732550991.010328471,true,228.5,1.8,399.7
1732550991.020580175,true,227.8,1.8,397.1
1732550991.030332270,true,228.5,1.8,399.7
1732550991.040575823,true,228.5,1.8,399.7
1732550991.050247937,true,228.6,1.8,404.3
1732550991.060499610,true,228.6,1.8,404.3
1732550991.070239875,true,228.6,1.8,404.3
1732550991.080499511,true,227.9,1.8,401.7
1732550991.090242363,true,228.5,1.8,407.7
1732550991.100503064,true,228.5,1.8,407.7
1732550991.110156319,true,228.5,1.8,407.7
1732550991.120421723,true,228.5,1.8,407.7
1732550991.130160701,true,227.7,1.8,405.7
1732550991.140419490,true,228.5,1.8,408.3
1732550991.150167703,true,228.5,1.8,408.3
1732550991.160323402,true,228.5,1.8,408.3
1732550991.169998725,true,228.7,1.8,406.3
1732550991.180335933,true,227.9,1.8,403.7
1732550991.190588532,true,228.7,1.8,406.3
1732550991.200332639,true,228.7,1.8,406.3
1732550991.210004099,true,228.5,1.8,408.5
1732550991.220253021,true,228.5,1.8,408.5
1732550991.230499654,true,228.5,1.8,408.5
1732550991.240256247,true,227.7,1.8,405.9
1732550991.250501192,true,228.4,1.8,410.2
1732550991.260242808,true,228.4,1.8,410.2
1732550991.269916731,true,228.4,1.8,410.2
1732550991.280165697,true,228.4,1.8,410.2
1732550991.289914792,true,228.4,1.9,432.0
1732550991.300162033,true,228.4,1.9,432.0
1732550991.310413689,true,228.4,1.9,432.0
1732550991.320070954,true,227.6,1.9,429.2
1732550991.330333410,true,228.5,1.9,431.8
1732550991.339994572,true,228.5,1.9,431.8
1732550991.350324760,true,228.5,1.9,431.8
1732550991.359985664,true,228.5,1.9,431.8
1732550991.370321265,true,228.6,2.0,443.3
1732550991.380000924,true,227.9,2.0,440.4
1732550991.390250155,true,228.6,2.0,443.3
1732550991.400489463,true,228.6,2.0,443.3
1732550991.410250249,true,228.5,1.9,440.7
1732550991.419899886,true,227.8,1.9,437.9
1732550991.430161410,true,229.2,2.0,443.5
1732550991.439912145,true,227.8,1.9,437.9
1732550991.450161735,true,228.4,1.9,439.2
1732550991.459910305,true,228.4,1.9,439.2
1732550991.470167442,true,228.4,1.9,439.2
1732550991.480408618,true,227.7,1.9,436.4
1732550991.489989983,true,228.4,2.0,442.1
1732550991.500327898,true,228.4,2.0,442.1
1732550991.509989689,true,228.4,2.0,442.1
1732550991.520322190,true,228.4,2.0,442.1
1732550991.529996422,true,228.4,1.9,440.1
1732550991.540244245,true,227.7,1.9,437.3
1732550991.549992093,true,228.4,1.9,440.1
1732550991.560237065,true,228.4,1.9,440.1
1732550991.569908734,true,228.6,1.9,433.4
1732550991.580247205,true,228.6,1.9,433.4
1732550991.589913095,true,228.6,1.9,433.4
1732550991.600170163,true,228.6,1.9,433.4
1732550991.609907154,true,228.5,2.0,443.5
1732550991.620161572,true,227.8,2.0,440.7
1732550991.629823538,true,228.5,2.0,443.5
1732550991.640070051,true,228.5,2.0,443.5
1732550991.649824915,true,228.5,1.9,441.0
1732550991.659989095,true,227.7,1.9,438.2
1732550991.669826332,true,228.5,1.9,441.0
1732550991.679985347,true,228.5,1.9,441.0
1732550991.690245078,true,228.4,2.0,441.5
1732550991.699988014,true,228.4,2.0,441.5
1732550991.710245007,true,228.4,2.0,441.5
1732550991.719985498,true,227.7,1.9,438.7
1732550991.730248299,true,228.5,2.0,444.0
1732550991.739912271,true,228.5,2.0,444.0
1732550991.750163213,true,228.5,2.0,444.0
1732550991.759913829,true,228.5,2.0,444.0
1732550991.770163408,true,227.8,1.9,439.1
1732550991.779907189,true,228.5,2.0,441.9
1732550991.790157443,true,228.5,2.0,441.9
1732550991.799825348,true,228.5,2.0,441.9
1732550991.809993821,true,228.3,1.9,432.5
1732550991.819829615,true,228.3,1.9,432.5
1732550991.829983414,true,228.3,1.9,432.5
1732550991.839827864,true,227.6,1.9,429.8
1732550991.849995808,true,228.3,2.0,442.8
1732550991.859681507,true,228.3,2.0,442.8
1732550991.869995216,true,228.3,2.0,442.8
1732550991.880243740,true,228.3,2.0,442.8
1732550991.889907776,true,228.5,2.0,442.4
1732550991.899678911,true,227.7,2.0,439.6
1732550991.909909169,true,228.5,2.0,442.4
1732550991.920165551,true,228.5,2.0,442.4
1732550991.929903436,true,228.5,2.0,443.9
1732550991.940164017,true,227.7,2.0,441.0
1732550991.949902143,true,228.5,2.0,443.9
1732550991.960071947,true,228.5,2.0,443.9
1732550991.969823845,true,228.4,2.0,444.4
1732550991.979985254,true,228.4,2.0,444.4
1732550991.989827389,true,228.4,2.0,444.4
1732550991.000964450,true,228.4,2.0,444.4
1732550992.009817492,true,228.5,2.0,445.3
1732550992.019990905,true,227.8,2.0,442.5
1732550992.029817020,true,228.5,2.0,445.3
1732550992.039992539,true,228.5,2.0,445.3
1732550992.049679364,true,228.5,2.0,443.9
1732550992.059912204,true,227.8,2.0,441.1
1732550992.069679289,true,228.5,2.0,443.9
1732550992.079910966,true,228.5,2.0,443.9
1732550992.089679006,true,228.4,2.0,442.2
1732550992.099912030,true,227.6,1.9,439.4
1732550992.109580504,true,228.4,2.0,442.2
